r,n1,n2
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":TEPATITLAN,""geo_pos"":[20.8059,-102.747],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.86],""name"":MXJALTEM0866RTAGG01,""model"":7750 SR-a8,""type"":nokia_sros,""region"":R5,""ip_transport"":10.190.4.86}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""geo_pos"":[16.8166,-99.8529],""site"":CAMINO REAL,""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.127],""name"":ACA-R1-EA,""model"":7750 SR-7,""type"":nokia_sros,""region"":R7,""ip_transport"":10.190.4.127}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""geo_pos"":[16.8166,-99.8529],""site"":CAMINO REAL,""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.128],""name"":ACA-R1-EB,""model"":7750 SR-7,""type"":nokia_sros,""region"":R7,""ip_transport"":10.190.4.128}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""geo_pos"":[16.8166,-99.8529],""site"":CAMINO REAL,""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.129],""name"":ACA-R1-GA-A,""model"":7750 SR-7,""type"":nokia_sros,""region"":R7,""ip_transport"":10.190.4.129}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""geo_pos"":[16.8166,-99.8529],""site"":CAMINO REAL,""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.130],""name"":ACA-R1-GA-B,""model"":7750 SR-7,""type"":nokia_sros,""region"":R7,""ip_transport"":10.190.4.130}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":REFINERIA TULA,""geo_pos"":[20.0431,-99.2586],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.131],""name"":REFTULA-HID9001-GA,""model"":7750 SR-a8,""type"":nokia_sros,""region"":R9,""ip_transport"":10.190.4.131}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":TULA(GTAC),""geo_pos"":[20.0674,-99.2742],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.132],""name"":REFTULA-HID9001-WA,""model"":7750 SR-7,""type"":nokia_sros,""region"":R9,""ip_transport"":10.190.4.132}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":AMPLIACION JUAREZ / CUAUTLA,""geo_pos"":[18.8536,-98.9357],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.133],""name"":CUAUTL-MORL9005-GA,""model"":7750 SR-a8,""type"":nokia_sros,""region"":R9,""ip_transport"":10.190.4.133}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":YAUTEPEC(GTAC),""geo_pos"":[18.8345,-98.9964],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.134],""name"":YAUTEPE-MEX9005-WA,""model"":7750 SR-7,""type"":nokia_sros,""region"":R9,""ip_transport"":10.190.4.134}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,MVPN-IPv4,LABEL-IPv4]}","{""site"":REFORMA,""geo_pos"":[18.8283,-98.9458],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.139],""name"":MXMORCUA0177RTAGG01,""model"":7750 SR-a8,""type"":nokia_sros,""region"":R9,""ip_transport"":10.190.4.139}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":TORRE DIANA PISOS AT&T,""geo_pos"":[19.4267,-99.1721],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.172],""name"":TORDIA-DIFCHT6125-GA,""model"":7750 SR-7,""type"":nokia_sros,""region"":R9,""ip_transport"":10.190.4.172}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":TORRE DIANA PISOS AT&T,""geo_pos"":[19.4267,-99.1721],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.173],""name"":TORDIA-DIFCHT6125-GB,""model"":7750 SR-7,""type"":nokia_sros,""region"":R9,""ip_transport"":10.190.4.173}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":ALBERCA OLIMPICA / SWITCH,""geo_pos"":[19.3606,-99.1583],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.174],""name"":ALBOLI-MEX9700-CB,""model"":7750 SR-12,""type"":nokia_sros,""region"":R9,""ip_transport"":10.190.4.174}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,LABEL-IPv4]}","{""site"":TEXCOCO (MEX-9116),""geo_pos"":[19.5058,-98.8856],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.192],""name"":TEXCOCO-MEX9116-AA,""model"":7705 SAR-8 v2,""type"":nokia_sros,""region"":None,""ip_transport"":10.190.4.192}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-19T21:39:21.445479,""last_seen"":2021-11-19T21:39:21.445479,""origin_AS"":65000,""address_families"":[VPNv4 Unicast,L2VPN EVPN],""destination_AS"":65000,""state"":Established, up for 1y04w,""Graceful_restart"":enabled,""NSR_state"":NSR Ready}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.2,10.224.31.136],""name"":MXTOLM01RTDCEDGE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.2}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.1,10.224.31.134],""name"":MXTOLM01RTDCSPINE02,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.1}"
"{""first_seen"":2021-11-19T21:39:21.445479,""last_seen"":2021-11-19T21:39:21.445479,""origin_AS"":65000,""address_families"":[VPNv4 Unicast,L2VPN EVPN],""destination_AS"":65000,""state"":Established, up for 1y04w,""Graceful_restart"":enabled,""NSR_state"":NSR Ready}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.2,10.224.31.136],""name"":MXTOLM01RTDCEDGE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.2}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.0,10.224.31.132],""name"":MXTOLM01RTDCSPINE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.0}"
"{""first_seen"":2021-11-19T21:39:21.445479,""last_seen"":2021-11-19T21:39:21.445479,""origin_AS"":65000,""address_families"":[IPv4 Labeled-unicast,VPNv4 Unicast],""destination_AS"":65000,""state"":Established, up for 1y04w,""Graceful_restart"":enabled,""NSR_state"":NSR Ready}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.2,10.224.31.136],""name"":MXTOLM01RTDCEDGE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.2}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,LABEL-IPv4]}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.2,10.224.31.136],""name"":MXTOLM01RTDCEDGE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.2}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,LABEL-IPv4]}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Cisco,""ip"":[10.190.116.3,10.224.31.138],""name"":MXTOLM01RTDCEDGE02,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.3}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,LABEL-IPv4]}","{""site"":MEGACENTRO,""geo_pos"":[19.5444,-99.2041],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Cisco,""ip"":[10.190.118.2,10.224.23.136],""name"":MXCMXM01RTDCEDGE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.118.2}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,LABEL-IPv4]}","{""site"":MEGACENTRO,""geo_pos"":[19.5444,-99.2041],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Cisco,""ip"":[10.190.118.3,10.224.23.138],""name"":MXCMXM01RTDCEDGE02,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.118.3}","{""geo_pos"":[19.5265,-99.1797],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""ip"":[10.190.3.81],""type"":nokia_sros,""hierarchy_BGP"":RRN,""site"":SWITCH TLALNEPANTLA,""vendor"":Nokia,""name"":TLALNE-MEX9226-CB,""model"":7750 SR-12,""region"":None,""ip_transport"":10.190.3.81}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPN-IPv4,MCAST-IPv4,VPN-IPv6,MVPN-IPv4,EVPN,LABEL-IPv4]}","{""site"":ALBERCA OLIMPICA / SWITCH,""geo_pos"":[19.3606,-99.1583],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Nokia,""ip"":[10.190.4.175],""name"":ALBOLI-MEX9700-EB,""model"":7750 SR-12,""type"":nokia_sros,""region"":R9,""ip_transport"":10.190.4.175}","{""site"":SANTA FE,""geo_pos"":[19.3865,-99.2065],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Nokia,""ip"":[10.190.3.60],""name"":STAFE1-MEX9192-CA,""model"":7750 SR-12,""type"":nokia_sros,""region"":R9,""ip_transport"":10.190.3.60}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established, up for 1y01w,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPNv4 Unicast,L2VPN EVPN]}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.0,10.224.31.132],""name"":MXTOLM01RTDCSPINE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.0}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.2,10.224.31.136],""name"":MXTOLM01RTDCEDGE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.2}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established, up for 1y01w,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPNv4 Unicast,L2VPN EVPN]}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.1,10.224.31.134],""name"":MXTOLM01RTDCSPINE02,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.1}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.2,10.224.31.136],""name"":MXTOLM01RTDCEDGE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.2}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established, up for 1y01w,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPNv4 Unicast,L2VPN EVPN]}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Cisco,""ip"":[10.190.116.4,10.224.24.4],""name"":MXTOLM01RTDCLFOAM01,""model"":NCS-5501-SE,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.4}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.0,10.224.31.132],""name"":MXTOLM01RTDCSPINE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.0}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established, up for 1y01w,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPNv4 Unicast,L2VPN EVPN]}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Cisco,""ip"":[10.190.116.5,10.224.24.5],""name"":MXTOLM01RTDCLFOAM02,""model"":NCS-5501-SE,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.5}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.0,10.224.31.132],""name"":MXTOLM01RTDCSPINE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.0}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established, up for 1y01w,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPNv4 Unicast,L2VPN EVPN]}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Cisco,""ip"":[10.224.25.132,10.190.116.6],""name"":MXTOLM01RTDCLFSER01,""model"":NCS-5501-SE,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.6}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.0,10.224.31.132],""name"":MXTOLM01RTDCSPINE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.0}"
"{""first_seen"":2021-11-12T19:38:47.237064,""state"":Established, up for 1y01w,""last_seen"":2021-11-12T19:38:47.237064,""address_families"":[VPNv4 Unicast,L2VPN EVPN]}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-12T19:38:47.237064,""vendor"":Cisco,""ip"":[10.224.25.133,10.190.116.7],""name"":MXTOLM01RTDCLFSER02,""model"":NCS-5501-SE,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.7}","{""site"":BUENAVISTA / MSO IUSACELL TOLUCA,""geo_pos"":[19.3037,-99.6161],""first_seen"":2021-10-26T11:51:31.116446,""last_seen"":2021-11-19T21:39:21.445479,""vendor"":Cisco,""ip"":[10.190.116.0,10.224.31.132],""name"":MXTOLM01RTDCSPINE01,""model"":NCS-5508,""type"":cisco_xr,""region"":None,""ip_transport"":10.190.116.0}"
